Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,protein,weight loss,carbs,diet,gym,ozempic
2004-01-01,,,,,,,,,,14,13,6,100,23,0
2004-02-01,,,,,,,,,,15,12,5,71,18,0
2004-03-01,,,,,,,,,,13,12,4,63,15,0
2004-04-01,,,,,,,,,,14,12,4,67,15,0
2004-05-01,,,,,,,,,,13,12,5,68,15,0
2004-06-01,,,,,,,,,,13,12,5,62,17,0
2004-07-01,,,,,,,,,,12,13,4,58,17,0
2004-08-01,,,,,,,,,,11,11,4,54,18,0
2004-09-01,,,,,,,,,,14,10,3,53,17,0
2004-10-01,,,,,,,,,,13,10,2,48,15,0
2004-11-01,,,,,,,,,,12,11,2,49,17,0
2004-12-01,,,,,,,,,,11,10,2,41,19,0
2005-01-01,,,,,,,,,,13,14,3,60,24,0
2005-02-01,,,,,,,,,,14,13,3,54,20,0
2005-03-01,,,,,,,,,,14,13,3,54,20,0
2005-04-01,,,,,,,,,,13,13,3,56,16,0
2005-05-01,,,,,,,,,,12,14,3,58,18,0
2005-06-01,,,,,,,,,,13,14,3,54,18,0
2005-07-01,,,,,,,,,,12,13,3,53,18,0
2005-08-01,,,,,,,,,,11,12,2,47,19,0
2005-09-01,,,,,,,,,,13,10,2,44,18,0
2005-10-01,,,,,,,,,,13,11,2,44,17,0
2005-11-01,,,,,,,,,,12,10,2,43,18,0
2005-12-01,,,,,,,,,,10,10,2,37,18,0
2006-01-01,,,,,,,,,,13,16,3,65,24,0
2006-02-01,,,,,,,,,,13,13,2,52,21,0
2006-03-01,,,,,,,,,,13,13,3,54,20,0
2006-04-01,,,,,,,,,,12,13,2,51,18,0
2006-05-01,,,,,,,,,,11,13,2,47,19,0
2006-06-01,,,,,,,,,,11,13,2,55,20,0
2006-07-01,,,,,,,,,,11,13,3,54,21,0
2006-08-01,,,,,,,,,,10,12,2,51,23,0
2006-09-01,,,,,,,,,,12,11,2,42,21,0
2006-10-01,,,,,,,,,,12,11,2,44,20,0
2006-11-01,,,,,,,,,,11,11,2,45,21,0
2006-12-01,,,,,,,,,,9,10,2,38,22,0
2007-01-01,,,,,,,,,,12,15,3,62,30,0
2007-02-01,,,,,,,,,,12,13,2,50,27,0
2007-03-01,,,,,,,,,,12,14,3,55,27,0
2007-04-01,,,,,,,,,,12,15,3,56,24,0
2007-05-01,,,,,,,,,,12,14,3,54,25,0
2007-06-01,,,,,,,,,,11,15,3,57,24,0
2007-07-01,,,,,,,,,,11,15,3,54,22,0
2007-08-01,,,,,,,,,,11,13,2,48,22,0
2007-09-01,,,,,,,,,,12,12,2,48,23,0
2007-10-01,,,,,,,,,,13,12,2,45,20,0
2007-11-01,,,,,,,,,,11,11,2,43,20,0
2007-12-01,,,,,,,,,,10,10,2,36,22,0
2008-01-01,,,,,,,,,,13,15,3,60,28,0
2008-02-01,,,,,,,,,,13,12,3,49,23,0
2008-03-01,,,,,,,,,,13,13,3,51,23,0
2008-04-01,,,,,,,,,,13,14,3,52,21,0
2008-05-01,,,,,,,,,,12,13,3,47,21,0
2008-06-01,,,,,,,,,,11,12,3,48,21,0
2008-07-01,,,,,,,,,,11,13,3,49,22,0
2008-08-01,,,,,,,,,,11,11,3,48,24,0
2008-09-01,,,,,,,,,,12,11,3,43,24,0
2008-10-01,,,,,,,,,,13,11,2,45,20,0
2008-11-01,,,,,,,,,,11,11,2,43,23,0
2008-12-01,,,,,,,,,,10,11,2,42,24,0
2009-01-01,,,,,,,,,,13,15,3,60,29,0
2009-02-01,,,,,,,,,,15,14,3,52,23,0
2009-03-01,,,,,,,,,,14,14,3,53,22,0
2009-04-01,,,,,,,,,,14,13,3,50,21,0
2009-05-01,,,,,,,,,,13,14,3,51,21,0
2009-06-01,,,,,,,,,,14,15,4,51,22,0
2009-07-01,,,,,,,,,,12,15,3,50,21,0
2009-08-01,,,,,,,,,,12,15,3,48,22,0
2009-09-01,,,,,,,,,,14,13,3,46,19,0
2009-10-01,,,,,,,,,,14,13,3,45,19,0
2009-11-01,,,,,,,,,,13,13,3,43,20,0
2009-12-01,,,,,,,,,,11,12,2,40,22,0
2010-01-01,,,,,,,,,,14,18,4,64,28,0
2010-02-01,,,,,,,,,,15,16,4,54,24,0
2010-03-01,,,,,,,,,,16,16,4,55,22,0
2010-04-01,,,,,,,,,,15,16,4,53,21,0
2010-05-01,,,,,,,,,,14,19,4,55,20,0
2010-06-01,,,,,,,,,,14,17,4,49,22,0
2010-07-01,,,,,,,,,,13,15,4,48,21,0
2010-08-01,,,,,,,,,,12,14,4,48,22,0
2010-09-01,,,,,,,,,,14,13,4,47,21,0
2010-10-01,,,,,,,,,,14,12,3,44,20,0
2010-11-01,,,,,,,,,,13,11,3,43,21,0
2010-12-01,,,,,,,,,,11,11,2,40,21,0
2011-01-01,,,,,,,,,,17,20,6,70,31,0
2011-02-01,,,,,,,,,,19,17,5,64,28,0
2011-03-01,,,,,,,,,,19,17,6,66,27,0
2011-04-01,,,,,,,,,,17,17,5,65,25,0
2011-05-01,,,,,,,,,,16,18,6,66,25,0
2011-06-01,,,,,,,,,,16,19,6,63,26,0
2011-07-01,,,,,,,,,,16,19,5,61,25,0
2011-08-01,,,,,,,,,,16,17,5,56,27,0
2011-09-01,,,,,,,,,,16,16,5,54,25,0
2011-10-01,,,,,,,,,,16,15,5,54,23,0
2011-11-01,,,,,,,,,,15,13,4,51,26,0
2011-12-01,,,,,,,,,,13,16,4,49,27,0
2012-01-01,,,,,,,,,,20,20,7,74,33,0
2012-02-01,,,,,,,,,,20,19,6,67,28,0
2012-03-01,,,,,,,,,,19,18,6,63,26,0
2012-04-01,,,,,,,,,,19,20,7,65,25,0
2012-05-01,,,,,,,,,,19,19,7,60,27,0
2012-06-01,,,,,,,,,,18,19,7,61,28,0
2012-07-01,,,,,,,,,,18,19,7,62,29,0
2012-08-01,,,,,,,,,,18,17,6,57,29,0
2012-09-01,,,,,,,,,,19,16,6,56,25,0
2012-10-01,,,,,,,,,,19,15,5,50,24,0
2012-11-01,,,,,,,,,,15,15,5,46,22,0
2012-12-01,,,,,,,,,,14,13,4,46,25,0
2013-01-01,,,,,,,,,,20,19,7,70,31,0
2013-02-01,,,,,,,,,,22,19,7,65,28,0
2013-03-01,,,,,,,,,,21,18,7,67,29,0
2013-04-01,,,,,,,,,,21,18,7,64,27,0
2013-05-01,,,,,,,,,,19,19,7,64,27,0
2013-06-01,,,,,,,,,,20,19,7,61,28,0
2013-07-01,,,,,,,,,,19,19,8,58,28,0
2013-08-01,,,,,,,,,,19,18,7,55,28,0
2013-09-01,,,,,,,,,,20,16,7,50,25,0
2013-10-01,,,,,,,,,,19,16,6,49,25,0
2013-11-01,,,,,,,,,,17,15,6,45,24,0
2013-12-01,,,,,,,,,,14,15,5,45,27,0
2014-01-01,,,,,,,,,,22,21,8,66,34,0
2014-02-01,,,,,,,,,,24,19,7,59,31,0
2014-03-01,,,,,,,,,,22,20,8,57,30,0
2014-04-01,,,,,,,,,,23,19,8,55,27,0
2014-05-01,,,,,,,,,,20,19,8,54,27,0
2014-06-01,,,,,,,,,,20,19,8,51,28,0
2014-07-01,,,,,,,,,,20,19,8,50,28,0
2014-08-01,,,,,,,,,,17,17,8,47,27,0
2014-09-01,,,,,,,,,,21,15,8,46,26,0
2014-10-01,,,,,,,,,,20,15,7,42,24,0
2014-11-01,,,,,,,,,,18,14,6,37,24,0
2014-12-01,,,,,,,,,,16,13,6,39,28,0
2015-01-01,,,,,,,,,,22,19,10,57,34,0
2015-02-01,,,,,,,,,,23,17,9,47,29,0
2015-03-01,,,,,,,,,,22,18,9,51,29,0
2015-04-01,,,,,,,,,,23,17,9,53,26,0
2015-05-01,,,,,,,,,,20,17,9,49,26,0
2015-06-01,,,,,,,,,,20,18,9,49,27,0
2015-07-01,,,,,,,,,,20,18,9,48,27,0
2015-08-01,,,,,,,,,,21,16,9,43,29,0
2015-09-01,,,,,,,,,,23,15,9,43,26,0
2015-10-01,,,,,,,,,,21,14,8,41,23,0
2015-11-01,,,,,,,,,,18,13,7,37,26,0
2015-12-01,,,,,,,,,,16,14,6,38,27,0
2016-01-01,,,,,,,,,,25,19,11,58,38,0
2016-02-01,,,,,,,,,,26,18,10,52,34,0
2016-03-01,,,,,,,,,,24,19,11,52,32,0
2016-04-01,,,,,,,,,,25,18,11,52,30,0
2016-05-01,,,,,,,,,,24,18,11,48,32,0
2016-06-01,,,,,,,,,,21,17,11,49,32,0
2016-07-01,,,,,,,,,,21,18,11,47,45,0
2016-08-01,,,,,,,,,,21,17,11,47,36,0
2016-09-01,,,,,,,,,,23,15,10,42,30,0
2016-10-01,,,,,,,,,,22,14,10,39,27,0
2016-11-01,,,,,,,,,,19,14,8,36,30,0
2016-12-01,,,,,,,,,,17,13,7,38,31,0
2017-01-01,,,,,,,,,,27,21,14,58,39,0
2017-02-01,,,,,,,,,,26,21,14,62,33,0
2017-03-01,,,,,,,,,,27,21,15,55,33,0
2017-04-01,,,,,,,,,,26,20,14,56,32,0
2017-05-01,,,,,,,,,,24,19,14,53,31,0
2017-06-01,,,,,,,,,,24,18,14,54,35,0
2017-07-01,,,,,,,,,,25,18,15,56,35,0
2017-08-01,,,,,,,,,,23,16,13,50,33,0
2017-09-01,,,,,,,,,,24,15,13,47,30,0
2017-10-01,,,,,,,,,,24,15,12,49,27,0
2017-11-01,,,,,,,,,,21,15,11,44,31,0
2017-12-01,,,,,,,,,,18,13,10,44,31,0
2018-01-01,,,,,,,,,,28,20,18,67,39,0
2018-02-01,,,,,,,,,,28,18,17,62,34,0
2018-03-01,,,,,,,,,,27,18,17,64,32,0
2018-04-01,,,,,,,,,,26,18,19,68,30,0
2018-05-01,,,,,,,,,,24,18,19,64,31,0
2018-06-01,,,,,,,,,,24,17,21,63,32,0
2018-07-01,,,,,,,,,,24,18,23,61,33,0
2018-08-01,,,,,,,,,,24,16,21,61,31,0
2018-09-01,,,,,,,,,,25,14,18,52,29,0
